d_id,doctor_name,qualification,designation,sp_id
d_001,"Professor Dr. Abdullah-Al-Safi Majumder","MBBS, D. Card, MD(Card), FACC, FSGC, FRCP Research Fellow,","Professor of Cardiology",sp_001
d_002,"Professor (Dr.) Mohammad Safiuddin","FACC(USA), FCCP(USA), FESC, FRCP(Glasgow,UK)","Professor of Interventional Cardiology,",sp_001
d_003,"Professor (Dr.) Md. Fakhrul Islam","MBBS, MD (Cardiology), FESC (Europe), FACC (America)","Sinior Consultant, Heart Failure Dept. Labaid Cardiac Hospital, Dhaka.",sp_001
d_004,"Dr. H. I. Lutfor Rahman Khan","MBBS, D-Card, MD (Card)","Professor & Head, Department of Cardiology",sp_001
d_005,"Professor Dr. Md. Afjalur Rahman","MBBS, MD (Cardiology), PHD (Cardiology)","Professor & Head of Dept. Cardiology",sp_001
d_006,"Professor Dr. Abduz Zaher","MBBS, FCPS ( Medicine ), FACC ( USA ) , FRCP","Consultant, Department of Interventional Cardiology",sp_001
d_007,"Professor Dr. Abu Zafar","MBBS, MRCP ( UK ), FRCP ( Glasgow )","Professor, Ex-Head, Dept. of Cardiology, BSMMU",sp_001
d_008,"Professor Hasina Banoo","MBBS, FCPS (Medicine)","Ex. Professor of Cardiology SSMCH (Mitford) & BSMMU",sp_001
d_009,"Professor Dr. K.M.H.S. Sirajul Haque","MBBS, FCPS, FRCP, FACC","Cardiology /Heart Specialist",sp_001
d_010,"Professor Dr. M. Jalaluddin","FCPS ( Medicine ), FRCP","Consultant Labaid Cardiac Hospital",sp_001
d_011,"Professor Dr. M. Nazrul Islam","MBBS, FCPS, FRCP, FACC, FESC","Professor of Interventional Cardioloy",sp_001
d_012,"Assoc. Prof. Dr. Aslam Almehdi","Ph.D. (Periodontal Plastic Surgery) Tokyo, Japan","Periodontal Plastic & Maxillofacial Surgeon",sp_002
d_013,"Dr. Uttom Kumar Shet","BDS , MSD ( South Kore), PhD (South Korea),","Assistant Professor",sp_002
d_014,"DR. SK. NAZRUL ISLAM","BDS(DU) PGT(BKK) FAES(USA) MCPS(BCPS)","Specialized Dental Surgeon",sp_002
d_015,"Dr. Md. Abdullah Khan","BDS, PGT ( Japan )",Consultant,sp_002
d_016,"Dr. M. A. Sikder","BDS, Ph.D ( Japan )",Consultant,sp_002
d_017,"Professor Dr. Md. Shamsul Alam","BDS, DCD(USSR), FADI(USA)","Professor & Chairman",sp_002
d_018,"Professor Dr. Khandaker Abdul Azim","BDS, Dip, OMS ( Australia )",Consultant,sp_002
d_019,"Dr. Mohammed Shafi Ullah","MBBS, MS, BDS, MCPS, MDRA(USA)","Associate Professor & Head of Department",sp_002
d_020,"Dr. Nurul Amin","BDS, PhD ( Japan )","Associate Professor & Head, Department of Oral & Maxillofacial Surgery",sp_002
d_021,"Dr. Salahuddin ( Swapon )","B.D.S, FCPS","Assistant Professor & Head of Department ( CIDCH )",sp_002
d_022,"PROF. COLONEL DR MD SHIRAJUL ISLAM KHAN","MBBS, DDV, MCPS, FCPS(Dermatology and Venereology), Grading Course in Dermatology (AFMI)","Professor and Head of the Department, Dermatology and Venereology, Combined Military Hospital (CMH), Dhaka",sp_003
d_023,"Dr Lubna Khondker","MBBS, MPH, DDV (BSMMU), MCPS, FCPS (Dermatology and Venereology)","Associate Professor, Department of Dermatology and Venereology, Bangabandhu Sheikh Mujib Medical University (BSMMU), Dhaka",sp_003
d_024,"Associate Prof. Dr. Hosne Ara Begum","MBBS, DDV, FCPS ( Skin & VD)","Associate Professor, and Head of the Department, Birdem",sp_003
d_025,"Dr. A.S. Mofrehuddin Ahmed","MBBS (DHAKA), DDV","Consultant skin specialist",sp_003
d_026,"Dr. A.S.M. Zakariya","MBBS, MPH, MD skin / dermatology","Assistant Professor",sp_003
d_027,"Dr. A.T.M. Asaduzzaman","MBBS, MD","Assistant Professor.",sp_003
d_028,"Dr. Abdul Quaium Chowdhury","M-Dermatology (India), Fellow (Vd & Aids) Lond Fellow (Skin Surgery) Germany",Consultant,sp_003
d_029,"Dr. Abida Sultana","MBBS (Dhaka), DDV skin/dermatology","skin specialist",sp_003
d_030,"Dr. Abul Farah","MBBS, DCM, DDV, MCPS (SKIN & VD) skin / dermatology","Registar-Sir Salimullah Medical College & Hospital, Dhaka",sp_003
d_031,"Dr. Ahammad Ali","MBBS, DDV (DEU), DTM &H (THAI) skin / dermatology","Senior Consultant-Shahid Suhrawardi Hospital, Dhaka",sp_003
d_032,"Dr. Abdul Ali",MBBS,Diabetes,sp_015
d_033,"Professor Dr. Zafar A. Latif","MBBS, FCPS",Professor,sp_015
d_034,"Dr. Indrajit Prasad","MBBS, FCPS, MD, MACE ( USA )","Assistant professor",sp_015
d_035,"Dr. Ahsanul Haq Amin","MBBS, MD","Assistant Professor",sp_015
d_036,"Dr. Md. Feroz Amin","MBBS, MD ( Endocrinology )","Assistant Professor",sp_015
d_037,"Dr. Abdul Mannan Sarker","MBBS, DEM (DU), MD (Endocrinology)",Consultant,sp_015
d_038,"Dr. ( Capt. Rtd. ) H.S Ferdous","MBBS, DEM (DU), FRMH (Australia), MACE (USA) Ph.D Fellow(DU),",Consultant,sp_015
d_039,"Dr. A K M Shaeen Ahmed","MBBS, MCPS (Medicine), FCPS (Medicine)","Medicine & Diabetes",sp_015
d_040,"Dr. Kazi Ali Hassan","MBBS, M.Phil (EM), MRCP (UK)","Consultant, Specialist of Endocrinologist",sp_015
d_041,"Dr. Iqbal Ahmed","MBBS, CCD ( Birdem )",Specialist,sp_015
d_042,"Dr. AKM Mamunur Rashid","MBBS, DCO(ICO,Ctg) , MPHO (UniSA)",NULL,sp_004
d_043,"Professor Dr. A.H.M. Enayet Hussain","MBBS, FRCS ( Glasg. Uk ), FCPS ( BD ), ICO ( UK )",NULL,sp_004
d_044,"Professor Dr. Deen Mohd. Noorul Huq","MBBS, FCPS",NULL,sp_004
d_045,"Professor Dr. Shah Alam","MBBS, FCPS ( Ophthalmology )",NULL,sp_004
d_046,"Professor Dr. Md. Saleh Uddin","MBBS, FCPS, MS, MPhD ( Australia ), FICS, FCPS",NULL,sp_004
d_047,"Professor Dr. Jalal Ahmed","MBBS, FCPS, FICS",NULL,sp_004
d_048,"Dr. A.K.M. Nazmus Saquib","MBBS, D.Ophth ( DU ), FEPS ( India ),",NULL,sp_004
d_049,"Dr. G M Mostafa","MBBS, DO, MS ( Eye )",NULL,sp_004
d_050,"Dr. Md. Fakhrul Islam","MBBS, MCPS ( Ophthalmology ), MS ( Ophthalmology )",NULL,sp_004
d_051,"Dr. Mohibul karim","MBBS, Ph.D ( Japan ), FICA ( USA )",NULL,sp_004
d_052,"Dr. Arun Dodhu Patole","MBBS, MS, DORL (Mumbai), Fellow A.I.N.OT (Italy)","Professor & Head of the Departnment of ENT",sp_005
d_053,"Professor Dr. A.F. Mohiuddin Khan","MBBS, DLO, MS ( ENT )",Professor,sp_005
d_054,"Professor Dr. Abdullah A. Harron","FRCS ( Gasgow ) , FCPS","Professor & Chairman",sp_005
d_055,"Professor Dr. Abul Hasnat Joarder","MBBS, FCPS","Professor and Director",sp_005
d_056,"Professor Dr. Mahmudul Hasan","MBBS, FCPS (ENT)","Associate Professor, Otolaryngology",sp_005
d_057,"Dr. M A Rouf Sardar",NULL,"Assistant Professor",sp_005
d_058,"Dr. A. F. Mohiuddin Khan","MBBS, DLO(DU), MS (ENT)","Assistant Professor",sp_005
d_059,"Dr. A.B.M. Khorshed Alam","MBBS, FCPS","Assistant Professor",sp_005
d_060,"Dr. A.K.M.A Sobhan","MBBS, FRSH(London), DLO, MS",Consultant,sp_005
d_061,"Dr. Hossain Imam Al Hadi","MBBS, FCPS, FRCS (Glasgow), Fellowship Training (UK)","Assistant Professor",sp_005
d_062,"Dr. Sharmin Akter Liza","MBBS, FCPS",Consultant,sp_006
d_063,"Prof. Dr. Sangjukta Saha","MBBS, MS (Obs & Gynae).","Professor & Head, Dept. of Gynae, Obs & Laparoscopic Surgery, Shahid Monsur Ali Medical College and Hospital, Dhaka.",sp_006
d_064,"Prof. Dr. Munira Ferdausi","MBBS, MPH(Dhaka), MS (Obs & Gynae)","Master Trainer On Cervical Cancer & Breast Cancer",sp_006
d_065,"Dr. T A Chowdhury","MBBS, FRCS, FRCOG, FRCP, FCPS (Ban), FCPS (Pak)","Professor and Senior Consultant, Department of Obstetrics and Gynecology",sp_006
d_066,"Dr. Laila Arjumand Banu","MBBS (Dhaka), DGO (DU), FCPS (Obs. & Gynae)","Professor of Gynaecology & Obstetrics and Chief Consultant",sp_006
d_067,"Professor Dr. Amena Majid","MBBS, FCPS ( Gyne. ), MMED ( UK )","Ex. Professor of Gyne. & Obs.",sp_006
d_068,"Dr. Ashrafun Nessa","MBBS, MRCOG (London)","Senior Consultant, Dept. of Obstetrics & Gynaecology",sp_006
d_069,"Dr. Farhana Dewan","MBBS, FCPS (Gynae & Obs)","Senior Consultant, Dept. of Obstetrics & Gynaecology",sp_006
d_070,"Dr. Hafizur Rahman","MBBS, FRCOG (London)","Senior Consultant, Obstetrics & Gynaecology",sp_006
d_071,"Dr. Kohinoor Begum","MBBS, FCPS (Gynae & Obs)","Professor and Head of Gynaecology & Obstetrics",sp_006
d_072,"Dr. Md. Abdur Rahim Miah","MBBS, MD ( Gastroenterology )","Associate Professor, Department of Gastroenterology",sp_007
d_073,"Professor Dr. Anowar Kabir","MBBS, MRCP, FRCP, FCGE (UK)","Senior Consultant",sp_007
d_074,"Professor Dr. A.S.M.A Raihan","MBBS, MD (Gastro), FRCP (edin)","Chairman, Department of Gastroenterology",sp_007
d_075,"Professor Dr. Faruque Ahmed","MBBS, FCPS ( Med. ), MD ( Gastro. )","Professor & Head, Dept. of Gastroenterology",sp_007
d_076,"Professor Dr. M A Masud","FCPS, MD ( Gastro ), MACG ( USA )","Professor, Department of Gastroenterology",sp_007
d_077,"Professor Dr. Md. Samsul Arfin","MBBS, FCPS, (Medicine)",Consultant,sp_007
d_078,"Professor Dr. Swapan Chandra Dhar","MBBS. FCPS. MD (Gas), MACG (USA)","Professor & Head, Department of Gastroenterology",sp_007
